Year,ActiveM1,ActiveM2,PassiveM1,PassiveM2,DeathsM,PersonYrsM1,PersonYrsM2,NewInfM,NoInfHost,PerfectSpec
1998,958.409442658745,695.057016213821,95.8850496606435,268.862491072215,782.099360726216,1584.25344470495,1120.62308235122,1506.25413324518,0,0
1999,615.272468506829,303.76776566071,80.5579703747432,209.919084032525,609.785271953959,1329.16185032824,873.724599895991,1354.28336878506,0,0
2000,517.11098752552,200.663250563603,72.3788755849604,184.026653719492,532.607411199687,1189.84031758392,763.14109024139,1236.93502956783,0,0
2001,561.809166749532,199.59347654723,63.0183598934523,158.575637941696,454.557927813143,1026.09099286343,651.308684998997,1128.86250057816,0,0
2002,464.388997238511,142.267885732342,59.6420654285131,148.288074237764,414.776468016423,947.688868606695,594.308226570753,1039.1990862686,0,0
2003,303.758798018212,91.3116729394663,63.6087263588934,155.976181563569,411.293322548392,953.028336663021,589.317437156172,970.005719252246,0,0
2004,381.384914170222,131.708450084151,64.6952228456464,157.783812613584,367.407743952703,856.304234662726,526.436434017386,892.829839001767,0,0
2005,332.672370901575,108.7759170669,72.3874097342257,171.101090047913,325.01498725537,782.035120247623,465.694405491216,810.010792944688,0,0
2006,371.194780709715,116.201692066822,76.6670574120114,173.082874050186,261.409915506322,658.884941449867,374.558527959743,710.236270599611,0,0
2007,279.850866456719,74.0032287357913,80.4428578604726,171.985477672736,218.824731445868,582.585460025728,313.54078185136,608.951430062355,0,0
2008,274.697004147771,70.1358182752346,73.2809283342081,150.670604481462,174.788931424716,483.957743411214,250.444535477136,510.47547857634,0,0
2009,265.368364553849,60.8433279149443,61.4874340279627,122.913495734795,136.875785787687,389.826020672331,196.121071913698,422.966528408979,0,0
2010,118.691790182772,23.1821796653014,29.1240752196319,57.7668787003674,63.2780779511463,181.63277615425,90.6673478073558,186.364486805632,0,0
2011,269.037879721716,49.3106619088309,71.4481651014453,140.409458606355,152.82762197869,442.759830295594,218.977497502545,463.715525724011,0,0
2012,146.351885745579,26.0361873806312,39.2477823039222,76.5157725267934,83.080907321201,242.626661671961,119.041629647121,248.404402210534,0,0
2013,106.584308899393,18.715295839204,35.0190692159465,68.5495902438428,74.3627404996344,216.286207260418,106.549893345273,211.101456795327,0,0
2014,92.3858949210224,16.7407033906312,30.655224492308,60.5417613241055,65.6529871912701,189.268289429578,94.0702122598988,180.09569018534,0,0
2015,118.895563208878,21.1537963048626,24.7040339704215,48.6811796994638,52.7841436260338,152.505061968806,75.6312211718866,152.126356860918,0,0
2016,94.8819678434729,13.8598693469135,21.271345791346,41.711206886777,45.224482283367,131.307593871187,64.7994376150194,129.337152457578,0,0
2017,85.6826559871788,11.5395981745098,18.333785633901,36.008573842091,39.0407937717821,113.171977991615,55.9392026779678,110.343256076075,0,0
2018,79.299777122219,9.87214323426105,15.7710602867035,31.0389713080891,33.6524718030631,97.3519343135282,48.218600569714,94.2833008437855,0,0
2019,73.6445277910035,8.37857500912162,13.5745929886207,26.7606655077592,29.0138526469247,83.7933114044632,41.5722024806292,80.6788907804827,0,0
2020,68.6991290044805,7.09642302113288,11.6974300976592,23.0961085235872,25.0407230996454,72.2058789136853,35.8793443817316,69.1351319434532,0,0
2021,59.040012314319,3.85129210725483,10.7190451415987,21.3444740210256,23.1415980781377,66.1664806276942,33.1582024882053,59.9486049623575,0,0
2022,56.7488439599643,3.76029984349624,9.5015990798171,19.1878993574386,20.8034449941561,58.6514258616918,29.808003718643,52.0651991734839,0,0
2023,54.2086341004714,3.3894070356742,8.33359935621762,16.9637330061809,18.3920115911237,51.4415999120009,26.3528059922548,45.2270444763104,0,0
2024,51.7610755385477,2.95254825322479,7.28567578215603,14.8944077498397,16.1484570809266,44.9729816624982,23.138151823115,39.312494388541,0,0
2025,49.4846715395929,2.53845774543398,6.36527401641532,13.0474778852079,14.1460230281105,39.2915301164458,20.2689846390527,34.1977120742887,0,0
2026,47.3835978530864,2.17230296815626,5.56234206522137,11.4244789759534,12.386374104606,34.3351958729454,17.747689648244,29.7714826503894,0,0
2027,3.94170065498884,1.85634556251031,4.86315311639545,10.0058350790677,10.8482860919153,30.0192459705908,15.5438559459527,25.9375713941359,0,1
2028,3.35051405208443,1.58601530498141,4.25434752383707,8.76758616601814,9.50578160378006,26.2612140010587,13.6202620995551,22.6135509725552,0,1
2029,2.84950361550393,1.35534877515786,3.72396779157246,7.68678509796618,8.33398143815574,22.9872887779634,11.9412601984638,19.7289574731511,0,1
2030,2.42475025772189,1.15864324603808,3.26158985273927,6.74293137362413,7.31065903196537,20.1331246702629,10.4750031387479,17.2235136749137,0,1
2031,2.0644289865305,0.990872345807346,2.85820112850978,5.91812658905818,6.41640900705097,17.6430888768444,9.19368612247809,15.0455882954595,0,1
2032,1.758565511022,0.847721856594832,2.50602532061081,5.19685909228483,5.63441369258328,15.4691799040189,8.0732121217459,13.1508834822095,0,1
2033,1.4987613667274,0.725521100702988,2.19835122356647,4.56570933710172,4.95012367055143,13.5699708577459,7.09273415153061,11.5013462114756,0,1
2034,1.27794386060079,0.621154738113999,1.92938160647015,4.01306518690191,4.35094910919922,11.9096766215382,6.23421299996556,10.0642375153283,0,1
2035,1.09015221461409,0.531979489890628,1.69410355049851,3.52886931091686,3.82598589101426,10.4573534764544,5.48202481362413,8.81135742465764,0,1
2036,0.930357986731333,0.455751516207581,1.48817676716179,3.10440151106262,3.36577961236001,9.18620971255038,4.82262294680245,7.71838389635933,0,1
2037,0.794315170576515,0.390564688617095,1.30783958948303,2.73209251402772,2.96212369760371,8.07302533171448,4.24424869140926,6.76431825698412,0,1
2038,0.678435129588437,0.334798534918959,1.14982843825015,2.40536511410421,2.60788716681241,7.0976549293696,3.73668449566802,5.93101154775947,0,1
2039,0.579682200107503,0.287074426292191,1.01130911735985,2.11849846540256,2.29686750191875,6.24260359473201,3.29104314490493,5.20276269786051,0,1
