Time,S_H1,S_H2,S_H3,S_H4,S_A,E_H1,E_H2,E_H3,E_H4,E_A,I1_H1,I1_H2,I1_H3,I1_H4,I1_A,I2_H1,I2_H2,I2_H3,I2_H4,I2_A,R_H1,R_H2,R_H3,R_H4,R_A,P_V,S_V,G_V,E1_V,E2_V,E3_V,I_V
1998,113670.92078864,0,0,8638.49073275322,127205.442797,32.6605544794282,0,0,21.6785293908072,0,1391.76956567638,0,0,923.790729081179,0,1091.47296808294,0,0,724.468068438988,0,426.8608455776,0,0,283.330014879798,0,137381.87822076,10512.8465121488,116606.938290881,19.4677259022161,15.0432427426215,11.6243239374803,39.522701387433
1998,113670.92078864,0,0,8638.49073275322,127205.442797,11.8621030214574,0,0,21.6785293908072,0,505.481741915344,0,0,923.790729081179,0,396.41595186912,0,0,724.468068438988,0,2029.00413701043,0,0,283.330014879798,0,137381.87822076,10512.8465121488,116606.938290881,19.4677259022161,15.0432427426215,11.6243239374803,39.522701387433
1998.00094175348,113674.221107355,0,0,8638.49083872737,127205.442797,12.4495853300764,0,0,21.6785293595777,0,505.46138943545,0,0,923.738093578414,0,396.388504229158,0,0,724.417903260295,0,2025.16413610644,0,0,283.432709618327,0,137381.895762649,10512.8465925626,116607.020648124,19.3867962467171,15.0418353311934,11.6243069649149,39.5227014981087
1998.00188350696,113677.513425281,0,0,8638.49115621303,127205.442797,13.0205004048351,0,0,21.678529346302,0,505.457629182039,0,0,923.68549642909,0,396.361073491728,0,0,724.367748963983,0,2021.33209409629,0,0,283.535143591586,0,137381.912970113,10512.8468195536,116607.102226662,19.3094089406667,15.0377776503287,11.6241963036519,39.5226995231764
1998.00282526044,113680.797759084,0,0,8638.49168468708,127205.442797,13.575315966538,0,0,21.6785293367583,0,505.469981710008,0,0,923.632937601354,0,396.33367031285,0,0,724.317605565269,0,2017.50799538306,0,0,283.637317353523,0,137381.92985236,10512.8471731816,116607.18304891,19.2354078310439,15.0313055671127,11.6239099155855,39.5226904965825
1998.00376701392,113684.074125658,0,0,8638.49242380262,127205.442797,14.1144866156239,0,0,21.6785291369365,0,505.497980757726,0,0,923.580417068142,0,396.306305039125,0,0,724.267473079333,0,2013.69182438505,0,0,283.739231456952,0,137381.946418348,10512.8476354205,116607.263135451,19.1646433370342,15.0226403312384,11.623375865602,39.5226674447866
1998.00847578133,113700.337326522,0,0,8638.49945752905,127205.442797,16.5909957537076,0,0,21.6783059255655,0,505.856655409061,0,0,923.318409846213,0,396.170403134025,0,0,724.016974874728,0,1994.72934163696,0,0,284.244926368429,0,137382.024812686,10512.8499575714,116607.654238374,18.8539736095059,14.9552432286356,11.612405858091,39.5232479137028
1998.01318454873,113716.403854203,0,0,8638.51170046388,127205.442797,18.7372965976051,0,0,21.6780833601063,0,506.544023877247,0,0,923.05732685391,0,396.03682445131,0,0,723.766751777471,0,1975.96272332665,0,0,284.744212088617,0,137382.096500566,10512.8540182493,116608.028355468,18.6055992008995,14.857479491249,11.5910451810032,39.5207772974074
1998.01789331614,113732.275789534,0,0,8638.52911392387,127205.442797,20.5968476917084,0,0,21.6778973125066,0,507.51550712656,0,0,922.797101350731,0,395.906538135054,0,0,723.516805519836,0,1957.39003996918,0,0,285.237156437048,0,137382.162338033,10512.8604870587,116608.385219118,18.4076780557794,14.7415993170151,11.5616532370788,39.5116387808984
1998.02260208354,113747.956364588,0,0,8638.55243684323,127205.442797,22.2075765236652,0,0,21.676945438228,0,508.730994720327,0,0,922.53772813739,0,395.780410448992,0,0,723.267137600585,0,1939.00937617476,0,0,285.723826524558,0,137382.223097181,10512.866517676,116608.728086457,18.2491972319623,14.6211656933565,11.5202232797913,39.4964749908952
1998.02723611515,113763.204346562,0,0,8638.58187189004,127205.442797,23.5817666475247,0,0,21.6745854034675,0,510.131476631351,0,0,922.28320073607,0,395.661064727551,0,0,723.021705332106,0,1921.10606788762,0,0,286.196711182303,0,137382.278585006,10512.8702848194,116609.054007568,18.1231560614376,14.5073860969869,11.4660281131189,39.4759725655145
1998.03187014675,113778.272444908,0,0,8638.61798458047,127205.442797,24.7729834705896,0,0,21.6707440969083,0,511.707184123964,0,0,922.029155040733,0,395.547023452287,0,0,722.776544740429,0,1903.38508650149,0,0,286.66364608545,0,137382.330322931,10512.8742343806,116609.366634828,18.0217200985433,14.3987629920426,11.4055711565989,39.446785856756
1998.03650417836,113793.163556412,0,0,8638.66139542934,127205.442797,25.8039603026203,0,0,21.6649683634956,0,513.433786166034,0,0,921.77536182054,0,395.438776294184,0,0,722.531655800357,0,1885.84464328076,0,0,287.124693130252,0,137382.378774452,10512.8785287096,116609.666254279,17.9402740799446,14.2968862270176,11.341873130596,39.4082296431052
1998.04113820996,113807.880612255,0,0,8638.712760001,127205.442797,26.6952148592361,0,0,21.6568553814516,0,515.289174402248,0,0,921.521508073133,0,395.336756688071,0,0,722.287037580358,0,1868.4829642512,0,0,287.579913508048,0,137382.42435788,10512.8825682165,116609.953909195,17.8745420947053,14.2039961078362,11.2760314279271,39.3605806150561
1998.04750982251,113827.836969416,0,0,8638.7974557354,127205.442797,27.7256235438935,0,0,21.6413660923067,0,518.014824368088,0,0,921.171696626139,0,395.207326038723,0,0,721.9511348467,0,1844.89997908897,0,0,288.196421243444,0,137382.483021922,10512.8869168119,116610.331490712,17.8033330262105,14.0936597937658,11.1838684062422,39.2809659883035
1998.05388143505,113847.477005017,0,0,8638.89994298639,127205.442797,28.5623031629106,0,0,21.6201582673205,0,520.907258531857,0,0,920.820059206648,0,395.091063156501,0,0,721.615731380248,0,1821.64709258728,0,0,288.802182703383,0,137382.537700217,10512.89128521,116610.687970382,17.7500887849452,13.999719005773,11.0953497746747,39.1860355718413
1998.06025304759,113866.807805953,0,0,8639.02168564476,127205.442797,29.2359286048036,0,0,21.5927461082845,0,523.932647769475,0,0,920.465478358566,0,394.988515481409,0,0,721.280814232271,0,1798.71982464753,0,0,289.397350200104,0,137382.589017733,10512.8961304936,116611.024046618,17.710814248313,13.919345022952,11.0136612767697,39.0779481416169
1998.06662466013,113885.835689702,0,0,8639.16368009517,127205.442797,29.7750635575237,0,0,21.5591926660219,0,527.060066129977,0,0,920.106764258779,0,394.900151576675,0,0,720.94636422475,0,1776.11375148964,0,0,289.982073299269,0,137382.637540934,10512.9005049047,116611.34176944,17.6810971755137,13.8529682987863,10.9389421438827,38.959150813863
1998.07444691488,113908.790054112,0,0,8639.36674628298,127205.442797,30.2884415536476,0,0,21.5100043147974,0,531.000975629451,0,0,919.659096829526,0,394.811572887327,0,0,720.536371329372,0,1748.79367827348,0,0,290.685855787315,0,137382.69398401,10512.9031806509,116611.710353871,17.6527500613371,13.7901244246195,10.857047183008,38.8018555718878
1998.08226916962,113931.307223477,0,0,8639.60268538399,127205.442797,30.6656622620386,0,0,21.4525670300355,0,535.023519132258,0,0,919.201444545112,0,394.745177659836,0,0,720.126993157926,0,1721.94313992444,0,0,291.374384426922,0,137382.747515209,10512.9069596713,116612.053037025,17.6321168196664,13.74108621618,10.7873717011509,38.6364426030275
1998.09009142437,113953.396655211,0,0,8639.87212395463,127205.442797,30.9326804498276,0,0,21.3879353561947,0,539.099987489949,0,0,918.731927652861,0,394.701118339523,0,0,719.718167676192,0,1695.5542809655,0,0,292.047919904109,0,137382.798624029,10512.9136718504,116612.369840745,17.6174847289134,13.7020273818455,10.7288947034354,38.4673704995848
1998.09791367911,113975.066580856,0,0,8640.17496986741,127205.442797,31.114415410793,0,0,21.3173868955998,0,543.204853211555,0,0,918.249179100943,0,394.67950055343,0,0,719.309821725972,0,1669.61937242381,0,0,292.70671695406,0,137382.847771854,10512.9190341979,116612.666766706,17.606240185711,13.6719147352761,10.6805376382205,38.2974109047675
1998.10843813298,114003.574022119,0,0,8640.63454235689,127205.442797,31.2602507411149,0,0,21.2150961782554,0,548.73648796864,0,0,917.577126894885,0,394.685819137657,0,0,718.761030635979,0,1635.42814248982,0,0,293.570278477977,0,137382.91146603,10512.8781141597,116613.083724433,17.5930794477399,13.6433197792003,10.6298921939003,38.0713089488942
1998.11896258685,114031.352985838,0,0,8641.15220775556,127205.442797,31.317215283721,0,0,21.10786358935,0,554.255597702963,0,0,916.877039774107,0,394.732193564073,0,0,718.212760823937,0,1602.02673006707,0,0,294.408202601032,0,137382.972762164,10512.8737211726,116613.432405994,17.5828716137412,13.6225963271601,10.5918998102295,37.8535165291334
1998.12948704071,114058.418749334,0,0,8641.7253693857,127205.442797,31.3087995877799,0,0,20.9991530078942,0,559.741883283271,0,0,916.147688395775,0,394.817943681832,0,0,717.664798930536,0,1569.39734656868,0,0,295.221064824088,0,137383.032036507,10512.955316826,116613.666763549,17.5752814659287,13.6067656358789,10.5628042870719,37.6475090895566
1998.14001149458,114084.786192047,0,0,8642.35145254652,127205.442797,31.2590147876892,0,0,20.8907748776136,0,565.174445079953,0,0,915.389489419937,0,394.942473311828,0,0,717.116932527153,0,1537.52259722914,0,0,296.009425172765,0,137383.089722954,10512.9922583869,116613.920415963,17.5682791287695,13.5948369163283,10.5409819027847,37.4547434703061
1998.15283988859,114116.002473357,0,0,8643.18247927746,127205.442797,31.1682841368038,0,0,20.7609617989622,0,571.702362966438,0,0,914.427641365913,0,395.145693724011,0,0,716.448967877706,0,1499.66590827211,0,0,296.93802422395,0,137383.158365621,10508.5334045592,116618.701356547,17.5611679259133,13.5831285481406,10.5217050224893,37.2396169741817
1998.1656682826,114146.225247204,0,0,8644.08183521831,127205.442797,31.0543042244557,0,0,20.6375882459291,0,578.126379571234,0,0,913.426187271195,0,395.403677662533,0,0,715.780475711979,0,1462.87511379333,0,0,297.831988096571,0,137383.225268304,10507.8734717904,116619.655786579,17.5522835842923,13.5739128399604,10.5078294067947,37.0451597985389
1998.17849667661,114175.476766128,0,0,8645.04342317934,127205.442797,30.9274208720337,0,0,20.5229372943816,0,584.444850187336,0,0,912.388352758916,0,395.714706710182,0,0,715.111114781655,0,1427.12097855812,0,0,298.692246529698,0,137383.290587823,10515.8053315142,116611.996652074,17.5390115200316,13.567425702391,10.4981197201388,36.8691142027487
1998.19132507062,114203.781301561,0,0,8646.06304535643,127205.442797,30.7992764356839,0,0,20.4168813897878,0,590.651797342405,0,0,911.317840537907,0,396.077291525846,0,0,714.44060259966,0,1392.37505559082,0,0,299.519704660205,0,137383.354577258,10518.4396920399,116609.611027596,17.5284251129899,13.5602338635737,10.4904907644617,36.7120371704767
