Year,ActiveM1,ActiveM2,PassiveM1,PassiveM2,DeathsM,PersonYrsM1,PersonYrsM2,NewInfM,NoInfHost,PerfectSpec
1998,1327.49967273816,666.164140851859,67.8952445632867,314.992418711601,1110.44948855699,2052.71015687878,888.223589337384,1962.64260478021,0,0
1999,818.807290394432,290.120313243277,55.5864054079451,231.618719809306,815.486279905166,1674.53576841581,652.289147824288,1713.65600576165,0,0
2000,655.253048110673,202.80446245839,49.3536864132103,198.989416621631,697.78887510466,1470.11577741143,558.145638889496,1541.32442298517,0,0
2001,688.603659428486,204.370808803615,43.0042849816074,166.456009188813,576.471139798258,1237.68060721805,461.106308947381,1386.11491902952,0,0
2002,546.775535683871,148.74612297016,43.2253357409958,155.845731218458,520.241267054475,1128.73377662773,416.129297465868,1261.74451267817,0,0
2003,348.987089789707,94.2712401562608,54.5922749788387,172.00747709287,522.400238823752,1136.3087791163,417.856210462764,1170.48666696639,0,0
2004,436.431290150305,128.427149117405,69.0407500940602,177.035995826451,450.244664813217,1000.17255947974,360.140588456742,1059.88049863475,0,0
2005,366.052849252297,102.62068288859,86.6123231766262,184.80349077294,385.350164592041,889.437779305021,308.232936187378,939.687562281657,0,0
2006,390.629437878713,105.56570919905,85.8342740562225,163.253489100215,299.915021512768,723.518942010235,239.895285332105,805.788961424389,0,0
2007,277.752056814805,68.2242547596717,81.6122244520701,147.938326466924,257.437747814284,634.681822390063,205.918668747084,690.446957199783,0,0
2008,266.114204899626,65.3962341983329,70.162020602592,124.48739461437,212.53118494261,530.628086986782,169.998918348967,588.820109408067,0,0
2009,250.284879959592,59.1241472135481,57.9275245871188,101.22246232269,171.735756732878,434.143539405426,137.367572172122,500.441829664763,0,0
2010,108.027038428087,23.8477251062928,27.9338726902807,49.4235007196499,83.6857517682717,208.749165563372,66.9383520619241,226.795493095333,0,0
2011,235.165733947184,51.1459637710833,70.0451084176624,122.847148202108,207.87824838605,522.967235920655,166.277138968801,581.82014901949,0,0
2012,128.33904796885,28.3201794301887,40.2730649604006,70.62900173441,119.492464053306,300.59798092855,95.5793364884317,325.980206496001,0,0
2013,92.2658727946329,20.8037912123976,37.5786366267122,66.6481843463463,112.750500347381,280.461255524788,90.1865912408827,288.318874517571,0,0
2014,79.9138378307087,18.851492902078,34.3620267498095,61.5837380423815,104.180777362628,256.447318110608,83.3318624237835,256.307312854899,0,0
