Year,ActiveM1,ActiveM2,PassiveM1,PassiveM2,DeathsM,PersonYrsM1,PersonYrsM2,NewInfM,NoInfHost,PerfectSpec
2017,NaN,0,4622,3974,3571,32506.9252884324,3664.07389952034,129982,0,0
2018,NaN,0,9399,22957,21164,70783.6896719934,23784.6245844517,39318,0,0
2019,NaN,0,8320,24611,22643,60800.9992610348,25706.2410228079,55638,0,0
2020,NaN,0,8089,24336,22275,60112.6649564352,25419.8746503303,56419,0,0
2021,NaN,0,8112,24388,22473,60152.5855624046,25409.1615707531,57040,0,0
2022,NaN,0,8130,24259,22588,60539.0513158293,25145.9697899312,56934,0,0
2023,NaN,0,8106,24042,22257,60646.421178843,25152.4355433558,56771,0,0
2024,NaN,0,7966,24170,22519,60503.5307678841,25458.4108858216,56297,0,0
2025,NaN,0,8228,24342,22559,60155.4978911718,25439.2903378764,56668,0,0
2026,NaN,0,8225,24257,22272,60404.0540555553,25170.4355433558,56987,0,0
2027,NaN,0,8089,24109,22115,60641.4102199389,25223.1341734928,56778,0,0
2028,NaN,0,8049,24134,22562,60527.7088500759,25452.1944474654,56477,0,0
2029,NaN,0,8384,24393,22277,60569.6348774731,25244.2821186983,56787,0,0
2030,NaN,0,8102,24264,22205,60505.11980898,25308.8465022599,56571,0,0
2031,NaN,0,7999,24343,22346,60563.9773432266,25251.7314337668,56671,0,0
2032,NaN,0,8233,23993,22369,60446.4896719937,25395.547872123,56309,0,0
2033,NaN,0,8014,24122,22431,60432.5335076101,25354.2081460956,56935,0,0
2034,NaN,0,8082,24487,22602,60431.5828226786,25318.9670502052,56817,0,0
2035,NaN,0,8117,24355,22180,60546.2595350074,25284.9286940408,56745,0,0
2036,NaN,0,8249,24296,22473,60384.0321377471,25254.7780091093,57032,0,0
2037,NaN,0,8169,24235,22363,60537.1773432265,25310.5259543147,57154,0,0
2038,NaN,0,8091,24417,22437,60354.5280281581,25450.7944474654,56339,0,0
2039,NaN,0,8227,24406,22361,60214.226658295,25288.1725296572,56871,0,0
2040,NaN,0,8194,24229,22396,60613.7800829526,25054.0465022599,57296,0,0
2041,NaN,0,8192,24385,22332,60482.0732336375,25352.4245844517,56513,0,0
2042,NaN,0,8154,24224,22319,60278.3362473361,25405.1314337668,56913,0,0
2043,NaN,0,8046,24421,22586,60266.1581651444,25438.6191049997,56637,0,0
2044,NaN,0,8049,24215,22435,60615.8951514457,25228.5286940408,56998,0,0
2045,NaN,0,8036,24090,22368,60630.418439117,25384.0218447257,56390,0,0
2046,NaN,0,8114,24441,22219,60567.4074802129,25247.651981712,56810,0,0
2047,NaN,0,8110,24213,22323,60466.922548706,25303.9122556846,56374,0,0
2048,NaN,0,8288,24329,22302,60239.1718637745,25388.7780091093,56727,0,0
2049,NaN,0,8113,24408,22314,60452.0869322676,25158.5999269175,56973,0,0
2050,NaN,0,8126,24209,22317,60248.8293399968,25283.6006777276,56562,0,0
